"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Ср.Усп","БЕЛ Бр.","МАТ Ср.Усп","МАТ Бр.","ИЦ Ср.Усп","ИЦ Бр.","ФА Ср.Усп","ФА Бр.","ГИ Ср.Усп","ГИ Бр.","ХООС Ср.Усп","ХООС Бр.","ФИЛ Ср.Усп","ФИЛ Бр.","БЗО Ср.Усп","БЗО Бр.","АЕ Ср.Усп","АЕ Бр.","РЕ Ср.Усп","РЕ Бр.","НЕ Ср.Усп","НЕ Бр.","ИспЕ Ср.Усп","ИспЕ Бр.","ФрЕ Ср.Усп","ФрЕ Бр.","ИтЕ Ср.Усп","ИтЕ Бр.","2ДЗИ Ср.Усп","2ДЗИ Бр.","ср.успех","общо"
"Ловеч","Ловеч","Ловеч","1100322","Професионална гимназия по механоелектротехника","3,67","92","","","3,85","5","3,01","1","3,08","24","","","3,59","8","3,48","4","4,65","17","","","","","","","","","","","3,69","59","3,68","151"
"Ловеч","Ловеч","Ловеч","1100329","Професионална гимназия по ветеринарна медицина ""Проф.д-р Димитър Димов""","3,79","45","3,32","1","3,59","3","","","2,97","6","","","3,77","6","4,02","30","5,6","1","","","","","","","","","","","3,85","47","3,82","92"
"Ловеч","Ловеч","Ловеч","1100331","Професионална гимназия по икономика, търговия и услуги","4,01","69","3,61","1","3,58","2","","","3,7","57","","","","","3,55","11","4,91","3","","","3,7","1","","","","","","","3,72","75","3,86","144"
"Ловеч","Ловеч","Ловеч","1100318","Средно училище ""Свети Климент Охридски""","4,48","31","","","","","","","4,06","15","","","3,47","5","5,27","2","5,29","9","","","","","","","","","","","4,4","31","4,44","62"
"Ловеч","Ловеч","Ловеч","1100316","Средно училище ""Тодор Кирков""","3,75","19","3,89","2","4,41","1","","","3,29","9","","","3,36","4","3,2","1","4,28","2","","","","","","","","","","","3,52","19","3,63","38"
"Ловеч","Ловеч","Ловеч","1100324","Средно училище ""Димитър Митев"" - гр. Ловеч","3,25","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,25","1"
"Ловеч","Луковит","Луковит","1100410","Професионална гимназия по селско стопанство ""Сергей Румянцев""","3,22","46","","","4,35","1","","","3,05","33","","","3,2","5","5,29","1","5,03","3","","","","","","","","","","","3,29","43","3,25","89"
"Ловеч","Луковит","Луковит","1100402","Средно училище ""Алеко Константинов""","3,98","34","3,47","3","4,74","10","","","3,02","18","","","","","4,73","6","4,56","2","","","","","","","","","","","3,84","39","3,9","73"
"Ловеч","Тетевен","Тетевен","1100511","Професионална гимназия по горско стопанство и дървообработване ""Сава Младенов""","3,73","49","3,08","1","","","","","3,7","30","","","","","4,83","12","4,74","4","","","","","","","","","","","4,07","47","3,89","96"
"Ловеч","Тетевен","Тетевен","1100509","Средно училище ""Георги Бенковски""","4,06","57","4,75","2","3,82","9","","","2,77","2","","","3,65","2","4,45","31","5,5","5","","","","","","","","","","","4,36","51","4,2","108"
"Ловеч","Тетевен","Тетевен","1100514","Професионална гимназия по строителство, електротехника и услуги","3,19","19","","","","","","","3,17","22","","","","","","","","","","","","","","","","","","","3,17","22","3,18","41"
"Ловеч","Троян","Троян","1100616","Професионална гимназия по механоелектротехника","3,49","35","5,51","2","","","","","3,54","30","","","","","4,46","1","","","","","","","","","","","","","3,69","33","3,59","68"
"Ловеч","Троян","Троян","1100612","Средно училище ""Васил Левски""","4,77","69","5,23","4","5,82","1","","","4,85","29","","","","","5,55","3","5,42","31","3,22","1","","","","","","","","","5,15","69","4,96","138"
"Ловеч","Троян","Троян","1100613","Средно училище ""Свети Климент Охридски""","4,82","43","5,23","4","5,21","7","","","3,88","9","","","","","5,36","4","5,47","18","","","","","","","","","","","5,05","42","4,94","85"
"Ловеч","Троян","Троян","2902502","Национална гимназия за приложни изкуства ""Проф. Венко Колев ""","4,56","20","","","","","","","3,18","1","","","","","","","","","","","","","","","","","","","3,18","1","4,5","21"
"Ловеч","Троян","Черни Осъм","1100610","Средно училище ""Васил Левски""","3,97","7","","","","","","","3,1","4","","","","","","","4,57","3","","","","","","","","","","","3,73","7","3,85","14"
"Ловеч","Угърчин","Угърчин","1100705","Средно училище ""Св. Св. Кирил и Методий""","3,13","26","","","","","","","2,9","22","","","","","","","","","","","","","","","","","","","2,9","22","3,03","48"
"Ловеч","Ябланица","Ябланица","1100805","Средно училище ""Васил Левски""","3,34","23","","","4,5","2","","","","","","","","","3,72","19","","","","","","","","","","","","","3,79","21","3,56","44"
"Монтана","Берковица","Берковица","1202000","Профилирана гимназия ""Д-р Иван Панов""","4,2","34","","","3,97","5","","","3,79","15","5,58","1","3,78","7","","","5,62","6","","","","","","","","","","","4,19","34","4,19","68"
"Монтана","Берковица","Берковица","1202011","Лесотехническа професионална гимназия","3,86","32","3,57","2","3,53","1","","","3,38","25","","","4,58","1","3,71","4","4,98","1","","","","","","","","","","","3,52","34","3,68","66"
"Монтана","Бойчиновци","Бойчиновци","1203007","Средно училищe ""Св.cв. Кирил и Методий""","3,58","1","","","","","","","","","","","","","4,07","1","","","","","","","","","","","","","4,07","1","3,83","2"
"Монтана","Бойчиновци","Бойчиновци","1203000","Средно училище ""Васил Левски""","3,27","6","","","","","","","","","","","","","3,54","5","","","","","","","","","","","","","3,54","5","3,39","11"
"Монтана","Бойчиновци","Владимирово","1202052","Професионална гимназия по транспорт ""Вл.П.Минчев""","3,37","22","","","","","3,2","3","3,3","12","","","","","4,18","3","","","2,98","8","","","","","","","","","3,29","26","3,33","48"
"Монтана","Брусарци","Брусарци","1204000","Средно училище ""Христо Ботев""","3,3","13","3,87","1","3,04","2","","","3,48","3","","","","","3,1","4","","","","","","","","","","","","","3,28","10","3,29","23"
"Монтана","Вълчедръм","Вълчедръм","1207000","Професионална Гимназия ""Димитър Маринов""","3,62","10","","","","","","","2,79","1","","","","","4,41","9","","","","","","","","","","","","","4,25","10","3,93","20"
"Монтана","Вършец","Вършец","1208007","Професионална гимназия по икономика и туризъм","3,14","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,14","9"
"Монтана","Вършец","Вършец","1208002","Средно училище „Иван Вазов“","4,5","37","3,93","3","4,07","1","","","3,76","11","","","","","4,35","12","5,33","9","","","","","","","","","","","4,37","36","4,44","73"
"Монтана","Георги Дамяново","Георги Дамяново","1206005","Професионална гимназия по селско стопанство ""Марко Марков""","3,23","11","","","","","","","3,03","6","","","","","","","","","","","","","","","","","","","3,03","6","3,16","17"
"Монтана","Лом","Ковачица","1209013","Професионална гимназия по селско стопанство ""Дунавска земя""","3,28","23","","","","","","","3","24","","","","","","","","","","","","","","","","","","","3","24","3,13","47"
"Монтана","Лом","Лом","1209012","Професионална гимназия по производствени технологии","3,71","34","","","4,38","1","","","3,23","19","","","3,52","5","4,47","3","4,84","5","","","","","","","","","","","3,67","33","3,69","67"
"Монтана","Лом","Лом","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","3,49","43","","","","","","","3,46","7","","","","","3,59","34","4,91","3","","","","","","","","","","","3,66","44","3,58","87"
"Монтана","Лом","Лом","1209006","Профилирана гимназия ""Найден Геров""","4,69","45","4,93","8","","","","","4,04","15","","","3,55","4","5,03","3","5,55","17","","","","","","","","","","","4,76","47","4,72","92"
"Монтана","Лом","Лом","1209005","Средно училище ""Димитър Маринов""","4,06","37","","","","","","","3,28","14","","","3,66","12","5,3","4","5,14","8","","","","","","","","","","","4","38","4,03","75"
"Монтана","Лом","Лом","1209003","Средно училище ""Отец Паисий""","4,02","12","","","","","","","3,23","7","","","","","5,13","2","4,32","1","","","","","","","","","","","3,72","10","3,88","22"
"Монтана","Медковец","Медковец","1205000","Средно училище ""Отец Паисий""","3,18","8","","","","","","","2,92","1","","","","","3,42","6","","","","","","","","","","","","","3,35","7","3,26","15"
"Монтана","Монтана","Монтана","1201004","Второ средно училище ""Никола Йонков Вапцаров""","3,44","12","","","","","","","3,24","4","","","","","3,79","9","","","","","","","","","","","","","3,62","13","3,53","25"
"Монтана","Монтана","Монтана","1201002","Профилирана гимназия с преподаване на чужди езици ""Петър Богдан""","4,82","95","4,57","9","5,08","6","5,98","1","3,6","10","","","4,6","5","5,2","10","5,52","39","5,18","5","5,08","11","","","","","","","5,06","96","4,94","191"
"Монтана","Монтана","Монтана","1201011","Девето средно училище ""Йордан Радичков""","3,62","23","","","","","","","3,52","16","","","3,41","1","4,23","4","4,44","2","","","","","","","","","","","3,72","23","3,67","46"
"Монтана","Монтана","Монтана","1201007","Пето средно  училище ""Христо Ботев""","2,35","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,35","1"
"Монтана","Монтана","Монтана","1201001","Природо-математическа профилирана гимназия ""Св. Климент Охридски""","4,49","72","4,83","11","5,22","2","3,05","2","3,87","4","","","3,42","2","5,21","20","5,29","32","","","","","","","","","","","5","73","4,75","145"
